id,date,altitude,lat,lon
135.0,2023-05-20,,25.226839,121.451511
136.0,2020-04-11,,25.018954,121.53168
137.0,2022-04-08,,25.018954,121.53168
138.0,2021-04-05,,25.018954,121.53168
139.0,2024-04-12,,25.018954,121.53168
140.0,2020-04-30,,25.226839,121.451511
141.0,2020-04-13,,24.180162,120.717807
142.0,2023-04-13,,25.018954,121.53168
143.0,2013-05-01,,24.886199,121.251162
144.0,2015-05-01,,24.886199,121.251162
145.0,2016-05-08,,24.886199,121.251162
146.0,2017-05-07,,24.886199,121.251162
147.0,2018-05-06,,24.886199,121.251162
148.0,2011-05-08,,25.018954,121.53168
149.0,2012-04-30,,25.018954,121.53168
150.0,2014-04-27,,25.018954,121.53168
151.0,2015-05-12,,25.226839,121.451511
152.0,2009-04-12,,25.018954,121.53168
